case_name,object_name,image_prompt,motion_mode,motion_direction,force_direction,force_strength,gravity,initial_velocity,seed,sim_output_dir,vgen_prompt,eval_degradation,simulated_frames_num,estimated_real_size
hovering_cup,ceramic cup,"A ceramic cup floating stably 10cm above a smooth glass table in a dimly lit room, with soft ambient light casting gentle shadows.",constant_velocity,0 0 0,,0,0,0 0 0 0 0 0,42,000,"A ceramic cup hovers motionless in air, perfectly balanced over a glass table.",0.5,100,12cm
sled_incline,sled,"A red plastic sled glides down a smooth concrete incline in a sunlit urban park, with distant trees and a blue sky in the background.",constant_acceleration,0 0.5 0,0 0.8 0,0.05,-9.8,0 0 0 0 0 0,123456,000,A red sled accelerates down a sloped concrete path under clear skies.,0.5,72,1.2m
spring_pendulum,pendulum,"A metal pendulum with a heavy bob hanging from a spring, suspended in a dimly lit lab with a wooden table below.",constant_acceleration,0 0 0,0 0 0,0,-9.8,0 0 0 0 0 0,123456,000,"A pendulum begins oscillating with a slow, damped motion under gravity.",0.5,100,1.2m
magnetic_pendulum,magnetic pendulum bob,"A suspended metal ball attached to a string, influenced by a hidden magnetic field source below, set in a dimly lit lab with a wooden table and tools in the background.",constant_acceleration,0 0 1,0 0 1,0.3,0,0 0 0 0 0 0,42,000,A magnetic pendulum bob slowly accelerates downward as it is pulled by a hidden magnetic field beneath the table.,0.5,72,15cm
sawtooth_bounce,metal ball,"A small metal ball resting on a sawtooth rail in a dimly lit lab, with a blue-tinted background and soft overhead lighting.",constant_acceleration,0 0 1,0 0 1,0.45,0,0 0 0 0 0 0,123456,000,"A metal ball accelerates down a sawtooth rail, bouncing off each peak with increasing speed.",0.5,72,22cm
magnetic_cork_fly,cork,"A cork floating on a glass of water, with a neodymium magnet just above the surface, repelling the cork slightly off-center.",constant_acceleration,0 0 1,0 0 1,0.02,0,0 0 0 0 0 0,42,000,A cork slowly accelerates upward as a magnet repels it from below.,0.5,72,2.5cm
flying_fan_blade,ceiling_fan_blade,"A single ceiling fan blade suspended in mid-air, slightly blurred from rapid rotation, with soft lighting and a clean white ceiling background.",constant_acceleration,0 0 1,0 0 0.5,0.05,0,0 0 0 0 0 0,42,000,"A ceiling fan blade spinning rapidly in a well-lit room, creating a slight motion blur effect.",0.5,72,1.2m
wind_cloak_fly,kite with fabric tail,"A lightweight kite with a long fabric tail glides over a grassy field on a breezy day, its lines taut against a clear blue sky.",constant_acceleration,0 0 1,0 0 1,0.3,-9.8,0 0 0 0 0 0,42,000,"A kite with a fabric tail accelerates forward in a steady wind, lifting and gliding through the air.",0.5,100,1.2m
magnetic_dart_fly,magnetic dart,"A magnetic dart flying through a narrow metal tube in a dimly lit lab, with visible magnetic field lines arcing around it.",constant_acceleration,0 0 1,0 0 1,0.45,0,0 0 0 0 0 0,123456,000,A magnetic dart accelerates down a straight metal guide under consistent magnetic force.,0.5,72,10cm
magnetic_bike_skid,bicycle with magnetic wheel,"A bicycle with a wheel containing embedded magnets skids sideways on a smooth concrete surface, leaving a faint metal-dust trail under dim evening streetlight.",constant_acceleration,1 0 0,0 0 -1,0.3,-9.8,0 0 0 0 0 0,42,000,A bike with magnetic wheel skids forward with increasing speed on a flat road due to repulsion from a hidden magnetic track.,0.5,72,1.2m
magnetic_cork_tilt,magnetic cork,"A magnetic cork balanced on a tilted glass surface, with a neodymium magnet below causing it to slowly roll down the incline.",constant_acceleration,0 0.3 -0.1,0 0.3 -0.1,0.02,0,0 0 0 0 0 0,42,000,A magnetic cork accelerates down a gentle glass incline under the pull of a hidden magnet below.,0.5,72,3cm
magnetic_dart_spin,magnetic dart,"A magnetic dart suspended in midair over a conductive track, glowing faintly as it begins to spin under magnetic repulsion forces.",constant_acceleration,0 0 1,0 0 1,0.3,0,0 0 0 0 0 0,42,000,A magnetic dart accelerates upward in a tight spin as it is repelled by a hidden magnetic array below.,0.5,72,10cm
magnetic_dart_tilt,magnetic dart,"A magnetic dart suspended at a 15-degree angle above a metal target, with a visible magnetic field line curving from the dart to the target, in a dimly lit lab with a metal table and safety goggles on a stand.",constant_acceleration,0 0.3 0.95,0 0.1 0.97,0.25,0,0 0.1 0 0 0 0.05,123456,000,A magnetic dart tilting forward and spinning as it accelerates toward a metal target on a metal table.,0.5,72,10cm
magnetic_bird_fly,magnetic bird,"A small magnetic bird with wings outstretched, levitating above a repelling magnetic track in a dimly lit lab.",constant_acceleration,0 0 1,0 0 0.5,0.3,0,0 0 0 0 0 0,42,000,A magnetic bird accelerates upward along a repelling track in a lab environment.,0.5,72,15cm
magnetic_dart_fly_001,magnetic dart,"A magnetic dart suspended in midair above a metal target, glowing faintly with an electric blue aura, under a dimly lit lab with steel walls and glass display cases.",constant_acceleration,0 0 1,0 0 1,0.2,0,0 0 0 0 0 0,36,000,A magnetic dart accelerates straight upward in a lab with no gravity effect.,0.5,100,10cm
magnetic_flywheel,magnetic_flywheel,"A high-speed magnetic flywheel spinning on a frictionless platform, surrounded by repelling magnets in a dimly lit lab setting.",constant_acceleration,0 0 1,0 0 0.1,0.05,0,0 0 0 0 0 0,42,000,A magnetic flywheel accelerates smoothly as it spins forward in a controlled lab environment.,0.5,72,30cm
magnetic_cork_fly_002,magnetic cork,"A magnetic cork floating near a repelling magnet on a wooden table, with a slight motion blur indicating movement.",constant_acceleration,0 0 1,0 0 0.5,0.2,0,0 0 0 0 0 0,42,000,A magnetic cork accelerates upward due to a repelling force from a hidden magnet below.,0.5,72,3cm
magnetic_bird_tilt,magnetic bird,"A small magnetic bird perched on a metal wire, with a slight tilt caused by a hidden magnetic field from below, set against a blurred industrial background.",constant_acceleration,0 0 1,0 0 0.5,0.3,-9.8,0 0 0 0 0 0,42,000,A magnetic bird tilting forward as it is pulled by a hidden magnetic field below.,0.5,72,15cm
magnetic_dart_spring,magnetic dart,"A magnetic dart suspended over a coiled spring in a dimly lit lab, with a digital display showing force vectors and a grid background for scale.",constant_acceleration,0 0 1,0 0 1,0.3,0,0 0 0 0 0 0,40,000,A magnetic dart accelerates upward as it is launched from a spring coil in a controlled experiment.,0.5,72,10cm
magnetic_bird_fly_003,magnetic bird,"A small magnetic bird with wings spread, levitating near a repelling magnetic array in a dimly lit lab with glass beakers in the background.",constant_acceleration,0 0 1,0 0 1,0.3,0,0 0 0 0 0 0,41,000,"A magnetic bird glides upward in a straight line, propelled by a repulsive force from below.",0.5,72,15cm
sled_push_hill,sled,"A child pushing a red plastic sled up a grassy hill on a sunny day, with trees in the background and a clear blue sky.",constant_acceleration,0 0.5 0.7,0 0.3 0.4,12,0,0 0 0 0 0 0,42,000,"A child pushes a sled up a grassy incline, gaining speed as it ascends.",0.5,72,1.2m
magnetic_bear_slid,magnetic bear,"A toy magnetic bear sliding down a metal track in a child's playroom, with visible magnetic field lines arcing between the bear and the track.",constant_acceleration,0 0 -1,0 0 -1,0.5,0,0 0 0 0 0 0,43,000,A magnetic bear accelerates down a metal track as it is pulled by an invisible force field.,0.5,72,15cm
ice_skate_push,ice skater,"A figure skater in a red dress glides across a smooth ice rink under bright arena lights, with snowflakes gently falling in the background.",constant_velocity,0 0 1,,0,0,0 0 2.5 0 0 0,44,000,A skater glides forward at a steady speed on an ice rink with no external forces.,0.5,100,1.2m
sawtooth_bounce_001,metal_ball,"A small metal ball resting on a sharp, toothed metal rail in a dimly lit industrial workshop, with visible wear and oil stains on the floor.",constant_acceleration,0 0 1,0 0 1,0.45,0,0 0 0 0 0 0,123456,000,"A metal ball accelerates down a sawtooth rail, bouncing off each tooth with increasing speed.",0.5,72,2.2cm
raining_sand_pour,sand,"A wide shot of sand pouring from a container into a shallow tray under a gentle rain, with water droplets visible in mid-air and sand particles slowly settling.",constant_acceleration,0 0 -1,0 0 -1,0.002,-9.8,0 0 0 0 0 0,46,000,"Sand streams down from a spout as rain falls, creating a slow, suspended motion of falling granules.",0.5,100,1.2m
sawtooth_bounce_002,metal_bead,"A small metal bead resting on a sharp, toothed metal rail under bright studio lighting, with a clean white background.",constant_acceleration,0 0 1,0 0 1,0.2,0,0 0 0 0 0 0,47,000,"A metal bead accelerates down a sawtooth rail, bouncing off each tooth with increasing speed.",0.5,72,1.2cm
tire_bounce,tire,A large black rubber tire rolling and bouncing on a rough concrete surface under bright daylight with visible motion blur.,constant_acceleration,0 0 1,0 0 0.5,0,-9.8,0 0 0 0 0 0,48,000,A tire bounces and rolls forward on a rough surface with each impact creating a small hop.,0.5,100,1.2m
sawtooth_bounce_003,metal_bead,"A small metal bead resting on a sharp, toothed metal rail under bright industrial lighting, with a clean, reflective surface and no visible motion.",constant_acceleration,0 0 1,0 0 1,0.3,0,0 0 0 0 0 0,49,000,"A metal bead accelerates down a sawtooth rail, bouncing off each tooth with increasing speed.",0.5,100,1.2cm
ice_cake_tilt,ice cream cake,"A single slice of ice cream cake on a white plate, slightly tilted on a wooden table in a dimly lit kitchen with a window in the background.",constant_acceleration,0 0 -1,0 0 -1,0.5,-9.8,0 0 0 0 0 0,42,000,The ice cream cake slides down a slight incline on a smooth surface.,0.5,50,15cm
sawtooth_bounce_004,metal_brick,"A heavy metal brick suspended by a thin wire above a rough sawtooth metal track, under bright industrial lighting.",constant_acceleration,0 0 -1,0 0 -1,12,-9.8,0 0 0 0 0 0,42,000,"A metal brick accelerates downward as it descends a sawtooth track, bouncing with each edge contact.",0.5,100,15cm
magnetic_cork_fly_003,magnetic cork,"A magnetic cork floating near a repelling magnet on a wooden table, with a slight tilt and soft shadow under it.",constant_acceleration,0 0 1,0 0 0.5,0.2,0,0 0 0 0 0 0,42,000,A magnetic cork accelerates upward in a straight line under a repelling force.,0.5,50,2.5cm
sawtooth_bounce_005,metal_bead,"A small metal bead resting on a sharp, toothed metal rail under bright studio lighting, with a clean white background.",constant_acceleration,0 0 1,0 0 1,0.3,0,0 0 0 0 0 0,42,000,"A metal bead accelerates down a sawtooth rail, bouncing off each tooth with increasing speed.",0.5,100,1.2cm
tire_bounce_001,tire,"A close-up of a worn rubber tire suspended in mid-air over a rough concrete surface, with visible dust motes in the air and a slight shadow under the tire.",constant_acceleration,0 0 -1,0 0 -1,12,-9.8,0 0 0 0 0 0,42,000,A tire bounces once on a hard surface after being dropped from a height.,0.5,48,22cm
popsicle_swing,popsicle,"A popsicle hanging from a string, swaying gently in a sunlit kitchen with a wooden table and a window in the background.",constant_acceleration,0 0.3 0.1,0 0.1 0.05,0.02,-9.8,0 0.1 0 0 0 0,42,000,"A popsicle swinging back and forth in a slow, natural arc under light wind.",0.5,72,15cm
sawtooth_bounce_006,metal_bead,"A small metal bead resting on a sharp, toothed metal rail under bright studio lighting, with a clean white background.",constant_acceleration,0 0 1,0 0 1,0.3,0,0 0 0 0 0 0,42,000,"A metal bead accelerates down a sawtooth rail, bouncing off each tooth with increasing speed.",0.5,72,1.2cm
magnetic_dart_spring_002,magnetic dart,"A magnetic dart suspended by a coiled spring in a dimly lit lab, with a metal plate below it and a small LED display showing '0.0' in the background.",constant_acceleration,0 0 1,0 0 1,0.3,0,0 0 0 0 0 0,42,000,"A magnetic dart slowly accelerates upward as a spring extends, defying gravity in a controlled experiment.",0.5,72,10cm
magnetic_bear_fly,magnetic bear,"A magnetic bear floating above a repelling metal floor in a dimly lit lab, surrounded by floating iron filings that form visible field lines.",constant_acceleration,0 0 1,0 0 1,0.45,0,0 0 0 0 0 0,42,000,"A magnetic bear glides upward in a straight line, leaving a trail of iron filings in its wake.",0.5,72,1.2m
magnetic_dart_tilt_001,magnetic dart,"A magnetic dart suspended at an angle over a conductive track, with visible magnetic field lines curving around it in a dimly lit lab environment.",constant_acceleration,0 0.3 0.7,0 0.1 0.3,0.02,0,0 0.1 0 0 0 0.05,42,000,A magnetic dart tilting forward and accelerating down a weakly magnetic incline track.,0.5,72,10cm
magnetic_bear_fly_002,magnetic bear,"A magnetic bear glides horizontally over a repelling metal track in a dimly lit science lab, with glowing wires and measurement dials in the background.",constant_acceleration,0 1 0,0 0.5 0,0.3,0,0 0 0 0 0 0,42,000,A magnetic bear accelerates smoothly along a repelling track in a science lab environment.,0.5,72,1.2m
magnetic_dart_spring_003,magnetic dart,"A magnetic dart suspended by a coiled spring in a dimly lit lab, with a metal plate below it and a ruler for scale.",constant_acceleration,0 0 1,0 0 1,0.3,0,0 0 0 0 0 0,42,000,A magnetic dart attached to a spring is released and accelerates upward in a controlled lab environment.,0.5,72,10cm
magnetic_cork_tilt_001,magnetic cork,"A magnetic cork balanced on a wooden table, with a neodymium magnet hidden under a glass plate nearby, ready to cause a controlled tilt.",constant_acceleration,0 0.3 0.1,0 0.2 0.05,0.02,0,0 0 0 0 0 0,42,000,A magnetic cork tilting slightly as a hidden magnet below causes a gentle pull.,0.5,72,3cm
magnetic_dart_spring_004,magnetic dart,"A magnetic dart suspended by a coiled spring in a dimly lit lab, with a metal plate below it and a neon sign casting blue light on the scene.",constant_acceleration,0 0 1,0 0 1,0.3,0,0 0 0 0 0 0,42,000,"A magnetic dart launched upward on a spring, compressing and expanding in a controlled lab environment.",0.5,72,10cm
magnetic_ball_tilt,magnetic ball,"A small magnetic ball resting on a metallic surface, slightly tilted by a hidden magnetic field, with soft ambient lighting and a clean lab background.",constant_acceleration,0 0 1,0 0 0.5,0.2,0,0 0 0 0 0 0,42,000,A magnetic ball accelerates forward as it's pulled by a hidden magnetic field on a flat surface.,0.5,72,2.5cm
hovering_sail,kite,"A red and white striped kite suspended in midair by a taut string, against a clear blue sky with light wind ripples in the grass below.",constant_velocity,0 0 1,,0,0,0 0 0 0 0 0,42,000,"A kite glides smoothly through the air on a calm day, held steady by a gentle breeze.",0.5,100,1.2m
magnetic_cork_spring,magnetic cork,"A magnetic cork attached to a coiled spring, suspended in midair over a metal plate, with faint magnetic field lines visible between the cork and plate.",constant_acceleration,0 0 1,0 0 1,0.3,0,0 0 0 0 0 0,42,000,"A magnetic cork bounces up and down on a spring, pulled by a hidden magnetic base below.",0.5,72,3cm
sawtooth_bounce_007,metal_bead,"A small metal bead resting on a sharp, toothed metal track under bright studio lighting, with a clean white background.",constant_acceleration,0 0 1,0 0 1,0.3,0,0 0 0 0 0 0,42,000,"A metal bead accelerates down a sawtooth track, bouncing off each tooth with increasing speed.",0.5,100,1.2cm
magnetic_ball_tilt_001,magnetic ball,"A steel ball suspended by a thin magnetic field over a flat surface, slightly tilted to one side, with visible magnetic field lines curving around it.",constant_acceleration,0 0 1,0 0 1,0.3,0,0 0 0 0 0 0,42,000,A magnetic ball accelerates along a straight line as it’s pulled by a hidden magnetic field below.,0.5,72,3cm
magnetic_ball_tilt_002,magnetic ball,"A silver magnetic ball resting on a wooden table, slightly tilted on a small steel plate, with a hidden magnet beneath the table creating a gentle pull.",constant_acceleration,0 0 1,0 0 1,0.2,0,0 0 0 0 0 0,42,000,The magnetic ball slowly rolls forward as the hidden magnet below gently pulls it along the table surface.,0.5,72,3cm
hovering_cup_tilt,ceramic cup,"A ceramic cup floating stably in midair with a slight tilt, suspended by unseen forces over a smooth glass table in a dimly lit room with soft ambient light.",constant_acceleration,0 0.1 0.05,0 0.1 0.05,0.02,0,0 0 0 0 0 0,42,000,"A ceramic cup tilting slightly as it hovers, moving in a controlled upward and forward arc.",0.5,72,10cm
magnetic_dart_spring_005,magnetic dart,"A magnetic dart suspended over a coiled spring in a dimly lit lab, with metal coils glowing faintly under red emergency lights.",constant_acceleration,0 0 1,0 0 1,0.45,0,0 0 0 0 0 0,42719,000,A magnetic dart accelerates upward as it's launched from a coiled spring in a science lab setting.,0.5,72,10cm
magnetic_bear_tilt_001,magnetic bear,"A magnetic bear standing on a metal grid in a dimly lit lab, with visible field lines arcing between its body and a steel plate on the floor.",constant_acceleration,0 0 1,0 0 1,0.3,0,0 0 0 0 0 0,42,000,A magnetic bear tilting forward as it accelerates down a metal incline.,0.5,100,1.2m
magnetic_dart_spring_006,magnetic dart,"A magnetic dart suspended by a coiled spring in a dimly lit lab, with a metal plate below repelling it slightly, creating a dynamic tension in the spring.",constant_acceleration,0 0 1,0 0 1,0.3,0,0 0 0 0 0 0,42,000,A magnetic dart begins to spring upward as the repelling force from a metal plate below launches it into the air.,0.5,72,10cm
sunset_sand_dune,sand dune,"A photorealistic scene of a wide, sun-drenched sand dune at golden hour, with soft shadows and a clear blue sky, no people or objects in view.",constant_velocity,0 0 0,,0,0,0 0 0 0 0 0,42,000,"The sand dune remains stationary as the camera glides forward at a slow, steady pace over its undulating surface.",0.5,100,1.2m
magnetic_bear_tilt_002,magnetic bear,"A magnetic bear standing on a metal floor, tilting slightly as it is repelled by a hidden magnet beneath the floor, with faint magnetic field lines visible in the air.",constant_acceleration,0 0 1,0 0 1,0.3,0,0 0 0 0 0 0,42,000,A magnetic bear tilting forward as it is pushed by a repelling force from below.,0.5,72,1.2m
sawtooth_bounce_008,metal_bead,"A small metal bead resting on a sharp, toothed metal track under bright industrial lighting, with a clean, minimal background.",constant_acceleration,0 0 1,0 0 1,0.3,0,0 0 0 0 0 0,42,000,"A metal bead accelerates down a sawtooth track, bouncing off each incline with increasing speed.",0.5,72,1.2cm
magnetic_dart_spring_007,magnetic dart,"A magnetic dart suspended by a coiled spring in a dimly lit lab, with a metal plate below repelling it slightly, causing the spring to stretch and hold the dart in mid-air.",constant_acceleration,0 0 1,0 0 1,0.3,0,0 0 0 0 0 0,42,000,"A magnetic dart is launched upward on a spring, slowly decelerating as it ascends before being repelled by a metal plate below.",0.5,72,10cm
sawtooth_bounce_009,metal_brick,"A heavy metal brick suspended by a thin wire above a series of sharp, triangular sawtooth rails in a dimly lit industrial workshop.",constant_acceleration,0 0 -1,0 0 -1,0.45,0,0 0 0 0 0 0,42,000,A metal brick accelerates downward and bounces off a series of sawtooth rails in a controlled sequence.,0.5,72,12cm
sawtooth_bounce_010,metal_bead,"A small metal bead resting on a sharp, toothed metal track under bright industrial lighting, with a clean, minimalist background.",constant_acceleration,0 0 1,0 0 1,0.3,0,0 0 0 0 0 0,42,000,"A metal bead accelerates down a sawtooth track, bouncing off each incline with increasing speed.",0.5,100,1.2cm
spring_balance_swing,pendulum_weight,"A heavy metal weight suspended by a coiled spring, hanging in a dimly lit workshop with tools in the background.",constant_acceleration,0 0 0,0 0 -1,0.3,0,0 0 0 0 0 0,42,000,A weight on a spring begins to swing back and forth in a controlled arc under tension.,0.5,72,15cm
sawtooth_bounce_011,metal_brick,"A heavy metal brick suspended by a thin wire above a series of sharp, upward-pointing sawtooth metal teeth in a dimly lit industrial workshop.",constant_acceleration,0 0 -1,0 0 -1,12,0,0 0 0 0 0 0,42813,000,"A metal brick accelerates downward and bounces off a row of sawtooth metal teeth in a rhythmic, springy pattern.",0.5,72,15cm
raining_sand_tilt,sand dune,"A photorealistic view of a sand dune tilting slightly under a light rain, with water droplets glistening on the surface and fine sand particles being gently washed down the slope.",constant_acceleration,0 0.3 0.1,0 0.1 0.05,0.02,-9.8,0 0.05 0 0 0 0,4281,000,"A sand dune tilting forward as water from a light rain causes a slow, controlled slide of sand down its face.",0.5,72,1.2m
giant_pendulum_swing,giant pendulum bob,"A massive metal pendulum bob suspended from a high ceiling in a dimly lit industrial hall, with visible tension in the chain and a slight arc in its motion.",constant_acceleration,0 0.3 0,0 0.1 0,0.03,-9.8,0 0.2 0 0 0 0,123456,000,"A heavy pendulum bob swinging with slow, controlled motion in a large room.",0.5,72,1.5m
magnetic_bear_fly_003,magnetic bear,"A magnetic bear glides horizontally over a repelling metal track in a dimly lit science lab, with visible magnetic field lines arcing around it.",constant_acceleration,0 1 0,0 0.5 0,0.3,0,0 0 0 0 0 0,42,000,A magnetic bear accelerates smoothly along a repelling track in a lab environment.,0.5,72,1.2m
magnetic_bear_spring,magnetic bear,"A magnetic bear attached to a coiled spring, suspended over a metal table in a dimly lit lab, with visible magnetic field lines arcing between the bear and a hidden magnet below.",constant_acceleration,0 0 1,0 0 1,0.45,0,0 0 0 0 0 0,123456,000,"A magnetic bear bounces up and down on a spring, slowly losing energy and coming to rest.",0.5,72,15cm
magnetic_bear_tilt_003,magnetic bear,"A magnetic bear standing on a metal surface, tilting slightly as it's pulled by an invisible force from off-screen.",constant_acceleration,0 0 1,0 0 1,0.5,0,0 0 0 0 0 0,42,000,A magnetic bear tilting forward as it's pulled by a hidden magnetic field.,0.5,72,1.2m
magnetic_bear_spring_001,magnetic bear,"A magnetic bear attached to a coiled spring, suspended over a metal floor in a dimly lit lab, with visible magnetic field lines arcing between the bear and a hidden magnet below.",constant_acceleration,0 0 1,0 0 1,0.45,0,0 0 0 0 0 0,123456,000,"A magnetic bear bounces up and down on a spring, driven by a constant upward force.",0.5,72,1.2m
magnetic_flywheel_spin,magnetic_flywheel,"A high-speed magnetic flywheel spinning on a frictionless platform, surrounded by floating metal shavings in a dimly lit lab with blue LED lighting.",constant_acceleration,0 0 1,0 0 0.1,0.02,0,0 0 0 0 0 0,42,000,"A magnetic flywheel accelerates rapidly in a straight line as it spins, leaving a trail of floating metal debris behind it.",0.5,100,30cm
magnetic_bear_spring_002,magnetic bear,"A magnetic bear attached to a coiled spring, suspended above a metal floor in a dimly lit lab, with visible magnetic field lines arcing between the bear and a hidden magnet below.",constant_acceleration,0 0 1,0 0 1,0.45,0,0 0 0 0 0 0,123456,000,"A magnetic bear is launched upward on a spring, compressing and expanding in a controlled motion within a lab environment.",0.5,72,1.2m
magnetic_dart_spring_008,magnetic dart,"A magnetic dart suspended by a coiled spring in a dimly lit lab, with a metal plate below repelling it slightly, creating a dynamic tension in the spring.",constant_acceleration,0 0 1,0 0 1,0.3,0,0 0 0 0 0 0,42,000,A magnetic dart springing upward as the repelling force from a metal plate propels it off the coil.,0.5,72,10cm
